0,54,24,4,71,40,22,11,27,7588
1,28,7,83,14,30,19,46,5,5297
2,52,100,69,62,36,6,13,45,6755
3,64,36,94,9,47,20,17,16,881
4,91,68,60,45,1,97,1,1,4030
5,1,73,5,2,16,4,3,77,8863
6,60,43,47,21,2,67,9,22,3585
7,43,10,2,3,12,78,8,2,3606
8,24,35,21,5,18,4,65,13,5618
9,2,8,18,98,10,5,8,77,4684
10,66,31,96,100,17,2,6,75,2811
11,24,19,13,100,18,56,18,8,827
12,87,8,95,85,23,31,42,4,5026
13,77,70,91,10,71,3,8,18,66
14,74,84,99,86,78,5,11,6,2364
15,57,44,89,6,3,6,90,1,2857
16,74,42,43,9,32,46,13,9,3473
17,86,34,12,87,43,18,15,24,9824
18,54,13,47,22,12,44,11,33,9330
19,46,10,57,43,20,5,69,6,4374
20,23,59,55,95,6,45,31,18,425
21,76,89,31,63,6,2,7,85,1918
22,93,89,2,30,74,2,20,4,9014
23,10,91,89,67,73,5,4,18,1652
24,41,35,69,12,51,27,13,9,4548
25,3,66,67,94,74,18,4,4,7918
26,86,80,41,74,17,55,21,7,3584
27,76,48,67,62,26,1,10,63,2577
28,64,88,23,1,24,12,41,23,8068
29,62,50,89,72,35,34,25,6,651
30,68,90,19,27,15,16,62,7,2050
31,60,16,53,51,21,1,3,75,7786
32,96,86,18,73,5,90,4,1,4161
33,58,21,33,82,1,1,2,96,1227
34,42,90,74,20,1,82,15,2,2640
35,90,95,33,9,9,42,29,20,9022
36,18,59,33,19,38,2,59,1,1837
37,83,45,29,100,72,15,12,1,2833
38,31,31,38,49,1,88,8,3,4778
39,52,72,15,87,64,17,7,12,9664
40,71,12,89,80,24,42,29,5,7300
41,90,28,2,81,88,10,1,1,8939
42,36,94,57,85,13,84,1,2,5670
43,35,61,27,61,11,27,26,36,375
44,79,83,88,86,9,83,5,3,9172
45,82,77,95,24,1,19,57,23,6820
46,33,93,42,55,67,2,29,2,8545
47,32,16,75,98,13,81,5,1,3812
48,43,79,50,66,85,10,1,4,6189
49,10,50,95,45,30,20,19,31,8082
50,97,46,80,49,2,60,17,21,7420
51,95,51,63,5,4,30,63,3,6587
52,70,6,26,3,56,31,7,6,6893
53,62,83,4,87,38,7,25,30,9636
54,36,55,45,82,14,26,47,13,7848
55,31,76,74,24,40,1,1,58,4604
56,26,89,81,1,2,76,6,16,4736
57,74,71,71,58,12,12,74,2,4044
58,84,53,29,13,16,22,43,19,4405
59,90,29,57,2,2,26,64,8,8554
60,83,3,4,53,53,2,23,22,3935
61,86,6,29,73,5,63,20,12,724
62,30,81,43,2,20,6,1,73,3434
63,98,70,26,10,19,62,5,14,3270
64,51,44,52,73,10,27,11,52,5978
65,76,74,23,11,1,97,1,1,5524
66,52,8,59,48,41,1,54,4,7401
67,97,31,100,51,26,6,2,66,4963
68,39,94,52,87,6,18,52,24,7021
69,96,93,44,15,20,63,11,6,5073
70,2,78,93,12,22,24,5,49,4197
71,2,70,66,96,6,67,13,14,5665
72,27,36,7,7,9,5,1,85,5607
73,88,93,75,95,42,41,16,1,9276
74,54,91,75,50,1,1,88,10,1213
75,45,52,58,5,5,42,19,34,7182
76,46,82,74,22,73,25,1,1,8956
77,34,83,17,32,33,5,25,37,7356
78,76,48,24,37,9,36,37,18,1412
79,82,46,93,77,3,10,1,86,7912
80,56,18,76,89,20,22,12,46,9238
81,72,7,26,99,17,37,9,37,4062
82,20,2,71,39,24,61,13,2,440
83,97,92,6,62,49,23,15,13,7482
84,89,74,87,51,1,88,9,2,65
85,15,99,74,18,17,1,71,11,7895
86,68,11,35,93,74,3,18,5,7235
87,45,13,98,53,12,1,64,23,7119
88,96,77,8,88,32,3,50,15,4081
89,10,7,76,16,1,2,96,1,4028
90,43,54,62,21,39,13,29,19,7426
91,97,16,58,85,10,86,2,2,4499
92,4,3,92,78,1,1,94,4,6434
93,56,35,54,27,25,12,15,48,4526
94,36,10,61,59,13,32,34,21,5151
95,98,51,60,30,15,14,41,30,6616
96,32,61,24,32,2,25,13,60,5731
97,59,67,82,18,37,8,39,16,7785
98,4,37,4,67,81,3,3,13,4167
99,70,78,1,36,80,2,12,6,9037
