0,60,2,57,72,14,27,20,39
1,24,89,63,74,25,42,8,25
2,40,70,88,95,20,13,17,50
3,100,25,44,33,5,1,32,62
4,1,54,82,2,31,32,19,18
5,38,62,98,95,2,1,8,89
6,5,86,26,2,60,1,38,1
7,32,36,20,12,1,6,64,29
8,75,52,13,31,27,29,12,32
9,79,52,67,81,51,12,16,21
10,78,22,53,20,7,87,1,5
11,4,29,87,93,11,28,19,42
12,74,96,99,99,24,2,5,69
13,57,8,24,57,1,25,51,23
14,96,41,21,17,20,31,11,38
15,41,33,9,62,3,44,45,8
16,33,4,91,79,40,1,2,57
17,55,81,55,45,16,31,6,47
18,16,95,78,33,67,10,1,22
19,30,45,45,32,5,1,93,1
20,47,36,35,96,29,54,9,8
21,7,43,95,29,2,3,92,3
22,98,42,19,71,36,21,7,36
23,84,34,24,18,3,72,21,4
24,47,35,8,98,61,3,3,33
25,66,93,74,24,9,3,43,45
26,25,55,16,42,16,51,29,4
27,78,45,34,19,86,8,2,4
28,60,20,87,91,3,3,47,47
29,64,98,23,25,2,6,67,25
30,69,73,62,23,9,5,7,79
31,71,96,56,10,3,19,39,39
32,15,19,6,87,49,8,3,40
33,43,69,54,19,2,78,18,2
34,32,5,65,89,95,1,3,1
35,25,95,72,30,9,5,73,13
36,100,51,62,39,2,40,34,24
37,46,4,16,67,7,38,46,9
38,39,9,24,72,71,14,14,1
39,20,85,92,10,58,6,9,27
40,27,5,84,34,74,5,5,16
41,96,52,86,91,3,34,2,61
42,6,19,94,99,33,4,40,23
43,67,30,69,94,23,8,15,54
44,70,93,2,79,35,21,43,1
45,55,53,59,56,9,88,1,2
46,9,73,66,98,1,2,96,1
47,67,38,94,15,22,12,56,10
48,63,11,60,4,69,5,18,8
49,23,41,90,82,43,2,1,54
50,86,7,66,19,6,15,11,68
51,91,97,22,36,1,50,2,47
52,96,70,89,89,7,36,25,32
53,86,14,35,94,12,5,6,77
54,55,27,80,27,7,55,11,27
55,84,66,79,96,18,72,5,5
56,70,48,73,9,7,2,2,89
57,53,73,27,72,20,30,3,47
58,8,94,82,26,12,40,31,17
59,37,68,30,93,8,2,7,83
60,64,92,99,35,91,3,1,5
61,27,58,46,31,49,6,11,34
62,43,23,8,94,34,5,58,3
63,16,19,28,54,13,18,65,4
64,82,29,74,15,11,51,35,3
65,41,7,5,64,35,7,26,32
66,70,6,20,43,7,88,1,4
67,82,20,15,39,5,2,5,88
68,62,44,77,78,3,81,14,2
69,32,90,71,24,31,58,1,10
70,50,32,87,39,53,5,27,15
71,93,92,48,97,14,12,28,46
72,95,67,74,36,1,1,85,13
73,5,18,69,31,22,28,21,29
74,17,49,91,97,4,6,83,7
75,48,69,72,44,7,55,32,6
76,72,1,88,60,18,17,60,5
77,70,91,91,99,5,17,63,15
78,52,76,16,45,65,12,12,11
79,73,6,86,16,2,4,88,6
80,17,24,7,60,13,4,20,63
81,8,81,2,6,16,1,1,82
82,30,99,20,22,2,43,35,20
83,86,45,100,41,35,16,29,20
84,59,73,47,13,5,38,1,56
85,33,19,40,97,16,79,4,1
86,51,3,66,31,31,7,61,1
87,28,28,63,82,23,16,18,43
88,60,26,43,15,16,2,56,26
89,24,84,42,80,58,23,17,2
90,11,44,4,77,18,15,65,2
91,66,98,4,63,26,41,15,18
92,57,79,2,66,6,32,32,30
93,51,37,95,6,12,9,41,38
94,12,49,30,36,9,14,44,33
95,97,56,2,80,25,23,20,32
96,19,74,36,8,19,72,8,1
97,3,94,4,3,35,22,7,36
98,65,7,45,88,68,2,29,1
99,74,86,23,27,91,1,3,5
100,23,82,59,12,31,3,32,34
101,83,77,18,37,5,11,28,56
102,94,88,13,11,12,52,28,8
103,96,28,4,5,14,2,2,82
104,43,37,58,74,1,3,69,27
105,9,66,85,84,27,35,22,16
106,32,75,89,74,16,28,10,46
107,64,96,92,72,36,20,9,35
108,49,86,9,29,74,10,8,8
109,15,100,76,41,11,44,11,34
110,23,56,34,96,17,53,19,11
111,5,30,66,2,12,7,16,65
112,13,55,32,3,4,26,12,58
113,10,46,82,11,34,61,2,3
114,56,29,72,17,4,6,46,44
115,3,88,88,71,28,4,10,58
116,94,23,78,81,9,10,26,55
117,94,54,50,36,31,10,2,57
118,31,47,78,49,63,17,12,8
119,71,23,77,59,11,11,11,67
120,38,79,7,3,2,3,3,92
121,86,10,73,63,36,22,19,23
122,3,37,5,2,7,69,21,3
123,32,93,54,74,19,33,36,12
124,86,6,72,76,78,4,13,5
125,89,24,75,28,81,5,1,13
126,72,46,86,43,2,43,3,52
127,8,70,76,1,49,48,2,1
128,22,64,56,45,8,68,9,15
129,79,35,76,31,22,44,27,7
130,6,51,89,68,34,36,16,14
131,35,45,83,59,8,2,80,10
132,76,29,9,89,8,3,88,1
133,77,37,99,37,5,36,14,45
134,61,44,49,5,3,33,33,31
135,51,79,96,96,10,13,68,9
136,24,4,19,70,87,9,2,2
137,34,2,11,43,73,4,14,9
138,23,78,16,20,57,41,1,1
139,30,75,13,91,11,4,66,19
140,88,6,95,100,34,3,16,47
141,96,38,14,20,6,18,37,39
142,57,44,21,63,1,5,57,37
143,8,2,9,82,67,6,22,5
144,31,88,82,49,2,2,63,33
145,70,26,68,86,23,5,47,25
146,60,48,79,5,29,1,68,2
147,63,73,83,2,5,3,78,14
148,98,97,49,55,47,4,42,7
149,33,51,16,73,9,1,41,49
